window_start,src_ip,network_packets_all_count,network_packets_dst_count,network_packets_src_count,network_ips_all_count,network_ips_dst_count,network_ips_src_count,network_macs_all_count,network_macs_dst_count,network_macs_src_count,network_ports_all_count,network_ports_dst_count,network_ports_src_count,network_protocols_all_count,network_protocols_dst_count,network_protocols_src_count,network_packet-size_avg,network_packet-size_max,network_packet-size_min,network_packet-size_std_deviation,network_payload-length_avg,network_payload-length_max,network_payload-length_min,network_payload-length_std_deviation,network_ip-length_avg,network_ip-length_max,network_ip-length_min,network_ip-length_std_deviation,network_header-length_avg,network_header-length_max,network_header-length_min,network_header-length_std_deviation,network_ttl_avg,network_ttl_max,network_ttl_min,network_ttl_std_deviation,network_ip-flags_avg,network_ip-flags_max,network_ip-flags_min,network_ip-flags_std_deviation,network_tcp-flags-ack_count,network_tcp-flags-fin_count,network_tcp-flags-psh_count,network_tcp-flags-rst_count,network_tcp-flags-syn_count,network_tcp-flags-urg_count,network_tcp-flags_avg,network_tcp-flags_max,network_tcp-flags_min,network_tcp-flags_std_deviation,network_window-size_avg,network_window-size_max,network_window-size_min,network_window-size_std_deviation,network_mss_avg,network_mss_max,network_mss_min,network_mss_std_deviation,network_time-delta_avg,network_time-delta_max,network_time-delta_min,network_time-delta_std_deviation,network_interval-packets,network_fragmentation-score,network_fragmented-packets,log_data-ranges_avg,log_data-ranges_max,log_data-ranges_min,log_data-ranges_std_deviation,log_data-types_count,log_interval-messages,log_messages_count
1785344146.283,192.168.10.40,4,4,4,2,1,1,2,1,1,5,1,4,1,1,1,66.0,66,66,0.0,32.0,32,32,0.0,52.0,52,52,0.0,20.0,20,20,0.0,56.75,60,54,2.165064,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2466.250658,2917.263985,1970.046997,388.017723,3,0.0,0,0.0,0,0,0.0,1,2466.250658,4
1785344146.283,192.168.10.30,2,2,2,2,1,1,2,1,1,3,1,2,1,1,1,51.5,52,51,0.5,17.5,18,17,0.5,37.5,38,37,0.5,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,4911.017418,4911.017418,4911.017418,0.0,1,0.0,0,1.0,1,1,0.0,1,4911.017418,2
1785344146.283,192.168.10.22,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,74.0,74,74,0.0,40.0,40,40,0.0,60.0,60,60,0.0,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,0,0,0,0,1,0,2.0,2,2,0.0,64240.0,64240,64240,0.0,1460.0,1460,1460,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,0.0,1
1785344146.283,192.168.10.20,27,27,27,4,3,1,4,3,1,32,8,24,1,1,1,73.111111,74,66,2.514157,39.111111,40,32,2.514157,59.111111,60,52,2.514157,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,3,1,0,0,24,0,3.592593,17,2,4.507272,57158.0,64240,502,20030.920897,1460.0,1460,1460,0.0,94.068399,2419.782877,0.473022,465.142967,26,0.0,0,2.153846,8,0,3.548481,1,94.068399,27
1785344146.283,192.168.10.11,18,18,18,3,2,1,3,2,1,19,9,10,1,1,1,64.0,88,54,10.994948,30.0,54,20,10.994948,50.0,74,40,10.994948,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,16,2,2,8,2,0,17.222222,24,2,5.883645,7360.888889,64240,0,20111.194917,1460.0,1460,1460,0.0,307.923836,4999.717951,0.413895,1174.091559,17,0.0,0,17.647059,34,0,15.495507,1,307.923836,18
1785344146.283,192.168.10.31,3,3,3,3,2,1,3,2,1,5,2,3,2,2,2,59.333333,74,52,10.370899,25.333333,40,18,10.370899,45.333333,60,38,10.370899,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,0,0,0,0,1,0,2.0,2,2,0.0,64240.0,64240,64240,0.0,1460.0,1460,1460,0.0,2646.62838,5292.453289,0.803471,2645.824909,2,0.0,0,22.0,22,22,0.0,1,2646.62838,3
1785344156.371,192.168.10.21,1048,1048,1048,2,1,1,2,1,1,11,1,10,1,1,1,554.0,554,554,0.0,520.0,520,520,0.0,540.0,540,540,0.0,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,8.741764,978.570938,0.185728,88.937578,1047,0.0,0,0.0,0,0,0.0,1,8.741764,1048
1785344156.371,192.168.10.50,37,37,37,8,7,1,8,7,1,22,13,9,2,2,2,220.27027,582,54,235.52043,186.27027,548,20,235.52043,206.27027,568,40,235.52043,20.0,20,20,0.0,64.0,64,64,0.0,1.027027,2,0,0.999635,19,3,0,10,3,0,18.578947,20,16,1.599861,10449.263158,65160,0,23691.524593,1460.0,1460,1460,0.0,263.620489,1049.453497,0.25034,351.197552,36,0.0,0,442.777778,528,0,190.586975,2,263.620489,37
1785344156.371,192.168.10.40,6,6,6,2,1,1,2,1,1,7,1,6,1,1,1,66.0,66,66,0.0,32.0,32,32,0.0,52.0,52,52,0.0,20.0,20,20,0.0,51.5,54,50,1.258306,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,1825.969458,2122.601748,1603.326797,190.384121,5,0.0,0,0.0,0,0,0.0,1,1825.969458,6
1785344156.371,192.168.10.22,2,2,2,2,1,1,2,1,1,3,1,2,1,1,1,74.0,74,74,0.0,40.0,40,40,0.0,60.0,60,60,0.0,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,0,0,0,0,2,0,2.0,2,2,0.0,64240.0,64240,64240,0.0,1460.0,1460,1460,0.0,8010.626078,8010.626078,8010.626078,0.0,1,0.0,0,0.0,0,0,0.0,1,8010.626078,2
1785344156.371,192.168.10.12,11,11,11,3,2,1,3,2,1,20,9,11,2,2,2,56.181818,62,54,3.562894,22.181818,28,20,3.562894,42.181818,48,40,3.562894,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,8,0,0,8,0,0,20.0,20,20,0.0,0.0,0,0,0.0,0,0,0,0.0,600.477815,2999.125719,0.319004,996.546857,10,0.0,0,7.2,8,0,2.4,1,600.477815,11
1785344156.371,192.168.10.30,2,2,2,2,1,1,2,1,1,3,1,2,1,1,1,52.0,52,52,0.0,18.0,18,18,0.0,38.0,38,38,0.0,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,4679.715633,4679.715633,4679.715633,0.0,1,0.0,0,0.0,0,0,0.0,1,4679.715633,2
1785344156.371,192.168.10.11,19,19,19,4,3,1,4,3,1,20,10,10,1,1,1,63.473684,88,54,10.932176,29.473684,54,20,10.932176,49.473684,74,40,10.932176,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,17,2,2,9,2,0,17.368421,24,2,5.760213,6973.473684,64240,0,19643.68636,1460.0,1460,1460,0.0,300.959335,2792.156696,0.255108,788.231157,18,0.0,0,27.777778,34,8,8.456132,1,300.959335,19
1785344156.371,192.168.10.31,4,4,4,3,2,1,3,2,1,7,3,4,2,2,2,63.0,74,52,11.0,29.0,40,18,11.0,49.0,60,38,11.0,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,0,0,0,0,2,0,2.0,2,2,0.0,64240.0,64240,64240,0.0,1460.0,1460,1460,0.0,1639.621655,4913.80024,1.529217,2315.194025,3,0.0,0,22.0,22,22,0.0,1,1639.621655,4
1785344156.371,192.168.10.20,27,27,27,4,3,1,4,3,1,32,8,24,1,1,1,73.111111,74,66,2.514157,39.111111,40,32,2.514157,59.111111,60,52,2.514157,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,3,1,0,0,24,0,3.592593,17,2,4.507272,57158.0,64240,502,20030.920897,1460.0,1460,1460,0.0,93.92598,2415.400505,0.320196,464.295172,26,0.0,0,2.153846,8,0,3.548481,1,93.92598,27
1785344166.503,192.168.10.21,1054,1054,1054,2,1,1,2,1,1,11,1,10,1,1,1,554.0,554,554,0.0,520.0,520,520,0.0,540.0,540,540,0.0,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,8.661237,976.675272,0.182867,88.182632,1053,0.0,0,0.0,0,0,0.0,1,8.661237,1054
1785344166.503,192.168.10.50,25,25,25,7,6,1,7,6,1,5,3,2,2,2,2,278.64,582,54,247.832666,244.64,548,20,247.832666,264.64,568,40,247.832666,20.0,20,20,0.0,64.0,64,64,0.0,0.56,2,0,0.897998,7,2,0,1,2,0,17.428571,20,16,1.293626,18908.0,65160,0,29252.839364,1460.0,1460,1460,0.0,408.690453,1006.223202,1.009464,360.022673,24,0.0,0,515.916667,528,492,12.615852,2,408.690453,25
1785344166.503,192.168.10.12,13,13,13,4,3,1,4,3,1,22,10,12,2,2,2,56.461538,62,54,3.692308,22.461538,28,20,3.692308,42.461538,48,40,3.692308,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,9,0,0,9,0,0,20.0,20,20,0.0,0.0,0,0,0.0,0,0,0,0.0,750.671486,3002.260923,0.365973,1075.710386,12,0.0,0,7.333333,8,0,2.211083,1,750.671486,13
1785344166.503,192.168.10.30,2,2,2,2,1,1,2,1,1,3,1,2,1,1,1,52.0,52,52,0.0,18.0,18,18,0.0,38.0,38,38,0.0,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,5218.223333,5218.223333,5218.223333,0.0,1,0.0,0,0.0,0,0,0.0,1,5218.223333,2
1785344166.503,192.168.10.40,3,3,3,2,1,1,2,1,1,4,1,3,1,1,1,66.0,66,66,0.0,32.0,32,32,0.0,52.0,52,52,0.0,20.0,20,20,0.0,57.333333,60,54,2.494438,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2501.587153,3261.119604,1742.054701,759.532451,2,0.0,0,0.0,0,0,0.0,1,2501.587153,3
1785344166.503,192.168.10.11,18,18,18,3,2,1,3,2,1,19,9,10,1,1,1,64.0,88,54,10.994948,30.0,54,20,10.994948,50.0,74,40,10.994948,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,16,2,2,8,2,0,17.222222,24,2,5.883645,7360.888889,64240,0,20111.194917,1460.0,1460,1460,0.0,294.505834,4623.907804,0.49758,1085.744226,17,0.0,0,27.411765,34,8,8.561603,1,294.505834,18
1785344166.503,192.168.10.31,3,3,3,3,2,1,3,2,1,5,2,3,2,2,2,59.333333,74,52,10.370899,25.333333,40,18,10.370899,45.333333,60,38,10.370899,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,0,0,0,0,1,0,2.0,2,2,0.0,64240.0,64240,64240,0.0,1460.0,1460,1460,0.0,2458.166003,4914.244175,2.087831,2456.078172,2,0.0,0,22.0,22,22,0.0,1,2458.166003,3
1785344166.503,192.168.10.22,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,74.0,74,74,0.0,40.0,40,40,0.0,60.0,60,60,0.0,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,0,0,0,0,1,0,2.0,2,2,0.0,64240.0,64240,64240,0.0,1460.0,1460,1460,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,0.0,1
1785344166.503,192.168.10.20,16,16,16,3,2,1,3,2,1,24,8,16,1,1,1,74.0,74,74,0.0,40.0,40,40,0.0,60.0,60,60,0.0,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,0,0,0,0,16,0,2.0,2,2,0.0,64240.0,64240,64240,0.0,1460.0,1460,1460,0.0,0.853555,1.406908,0.393629,0.300108,15,0.0,0,0.0,0,0,0.0,1,0.853555,16
1785344176.6,192.168.10.21,1052,1052,1052,2,1,1,2,1,1,11,1,10,1,1,1,554.0,554,554,0.0,520.0,520,520,0.0,540.0,540,540,0.0,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,8.68554,981.030703,0.184774,89.585485,1051,0.0,0,0.0,0,0,0.0,1,8.68554,1052
1785344176.6,192.168.10.50,34,34,34,8,7,1,8,7,1,21,12,9,2,2,2,219.029412,582,54,234.540914,185.029412,548,20,234.540914,205.029412,568,40,234.540914,20.0,20,20,0.0,64.0,64,64,0.0,1.0,2,0,1.0,17,3,0,9,3,0,18.647059,20,16,1.531673,11648.588235,65160,0,24771.959824,1460.0,1460,1460,0.0,278.649496,1011.167049,0.624895,334.665071,33,0.0,0,526.545455,528,516,3.916483,2,278.649496,34
1785344176.6,192.168.10.40,4,4,4,2,1,1,2,1,1,5,1,4,1,1,1,66.0,66,66,0.0,32.0,32,32,0.0,52.0,52,52,0.0,20.0,20,20,0.0,58.0,60,55,2.12132,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2650.616248,3427.05512,2179.269075,553.204731,3,0.0,0,0.0,0,0,0.0,1,2650.616248,4
1785344176.6,192.168.10.20,11,11,11,2,1,1,2,1,1,16,8,8,1,1,1,71.818182,74,66,3.562894,37.818182,40,32,3.562894,57.818182,60,52,3.562894,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,3,1,0,0,8,0,5.909091,17,2,6.388264,46856.909091,64240,502,28386.468586,1460.0,1460,1460,0.0,0.971985,1.655817,0.456572,0.367379,10,0.0,0,5.6,8,0,3.666061,1,0.971985,11
1785344176.6,192.168.10.30,2,2,2,2,1,1,2,1,1,3,1,2,1,1,1,51.5,52,51,0.5,17.5,18,17,0.5,37.5,38,37,0.5,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,4652.652264,4652.652264,4652.652264,0.0,1,0.0,0,1.0,1,1,0.0,1,4652.652264,2
1785344176.6,192.168.10.12,3,3,3,2,1,1,2,1,1,4,1,3,1,1,1,62.0,62,62,0.0,28.0,28,28,0.0,48.0,48,48,0.0,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,3004.943252,3005.222321,3004.664183,0.279069,2,0.0,0,0.0,0,0,0.0,1,3004.943252,3
1785344176.6,192.168.10.11,11,11,11,3,2,1,3,2,1,5,2,3,1,1,1,70.363636,88,54,9.67915,36.363636,54,20,9.67915,56.363636,74,40,9.67915,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,9,2,2,1,2,0,15.454545,24,2,6.9722,12045.090909,64240,0,24605.329923,1460.0,1460,1460,0.0,533.794713,4995.439053,0.583172,1490.528222,10,0.0,0,21.8,34,8,5.827521,1,533.794713,11
1785344176.6,192.168.10.31,4,4,4,3,2,1,3,2,1,6,2,4,2,2,2,63.0,74,52,11.0,29.0,40,18,11.0,49.0,60,38,11.0,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,0,0,0,0,2,0,2.0,2,2,0.0,64240.0,64240,64240,0.0,1460.0,1460,1460,0.0,1582.772493,4744.471073,1.805067,2235.658508,3,0.0,0,22.0,22,22,0.0,1,1582.772493,4
