src_ip,window_start,predicted_label,confidence,top_classes,prob_vector,is_attack,fingerprint_hash
192.168.10.11,1785171756.409,benign,0.978617,"{'benign': 0.978617, 'recon': 0.015551, 'dos': 0.001902}","[0.9786170125007629, 0.0016439537284895778, 0.0006875442923046649, 0.0019023867789655924, 0.0005051206098869443, 0.00031492591369897127, 0.015551332384347916, 0.0007777846767567098]",False,3802fa4d60132dd9bb96ccde00275b3736deb7e4b33d13616a0b0fa62fe6d5d0
192.168.10.20,1785171756.409,recon,0.770465,"{'recon': 0.770465, 'benign': 0.085519, 'web': 0.043526}","[0.0855192169547081, 0.011324280872941017, 0.02149127423763275, 0.029579628258943558, 0.028075063601136208, 0.010018817149102688, 0.7704654335975647, 0.04352625459432602]",True,e8a708e3d3223709eb3c93673a6dcd79a1ef152110049916da584a1b9c0e8566
192.168.10.21,1785171766.519,benign,0.323278,"{'benign': 0.323278, 'recon': 0.164016, 'ddos': 0.161809}","[0.3232775032520294, 0.005007995758205652, 0.16180938482284546, 0.11745524406433105, 0.1306172013282776, 0.09021463990211487, 0.16401565074920654, 0.007602347992360592]",False,f8c3c17bca02aaa0a0df288b3652de3e94f7001e3594caf3103c3739d269f5b8
192.168.10.50,1785171766.519,benign,0.994209,"{'benign': 0.994209, 'recon': 0.002383, 'dos': 0.001075}","[0.9942094087600708, 4.570944656734355e-05, 0.0002471309853717685, 0.001075194450095296, 0.00034846269409172237, 0.001060964772477746, 0.0023830458521842957, 0.000630038557574153]",False,894a154597123fa50b94837bcc1b1ff9fba946763a15a7229f1bdbf25e2b95cf
192.168.10.22,1785171766.519,benign,0.763725,"{'benign': 0.763725, 'malware': 0.121705, 'dos': 0.047185}","[0.7637249231338501, 0.0016675764927640557, 0.03149067983031273, 0.04718497022986412, 0.12170500308275223, 0.005262735765427351, 0.025205321609973907, 0.003758828854188323]",False,880b69ca0a410e2752cc2dbb7649227cc521b88ca999beecee33d1e05c0de422
192.168.10.11,1785171766.519,benign,0.978837,"{'benign': 0.978837, 'recon': 0.015309, 'dos': 0.001931}","[0.9788371324539185, 0.0016683752182871103, 0.0007468725671060383, 0.0019306472968310118, 0.00044918505591340363, 0.00026963098207488656, 0.015308785252273083, 0.0007893388974480331]",False,1b7b275e2639c45e9204eb9960baf63dcd5139a2cbf969ebc0a9dc98e5971a4e
192.168.10.12,1785171766.519,benign,0.996069,"{'benign': 0.996069, 'dos': 0.00194, 'recon': 0.001117}","[0.9960687160491943, 0.0003147963434457779, 0.00022577735944651067, 0.0019399544689804316, 0.00010833009582711384, 0.00015814015932846814, 0.001116776606068015, 6.745679274899885e-05]",False,c70137572adce4fb63f760daf7a66ec3c3f2e5382b7e377d6b87511cfa7343cf
192.168.10.20,1785171766.519,recon,0.770465,"{'recon': 0.770465, 'benign': 0.085519, 'web': 0.043526}","[0.0855192169547081, 0.011324280872941017, 0.02149127423763275, 0.029579628258943558, 0.028075063601136208, 0.010018817149102688, 0.7704654335975647, 0.04352625459432602]",True,e8a708e3d3223709eb3c93673a6dcd79a1ef152110049916da584a1b9c0e8566
192.168.10.21,1785171776.618,benign,0.323278,"{'benign': 0.323278, 'recon': 0.164016, 'ddos': 0.161809}","[0.3232775032520294, 0.005007995758205652, 0.16180938482284546, 0.11745524406433105, 0.1306172013282776, 0.09021463990211487, 0.16401565074920654, 0.007602347992360592]",False,f8c3c17bca02aaa0a0df288b3652de3e94f7001e3594caf3103c3739d269f5b8
192.168.10.50,1785171776.618,benign,0.256487,"{'benign': 0.256487, 'mitm': 0.251274, 'recon': 0.251043}","[0.25648680329322815, 0.0719849094748497, 0.0054472144693136215, 0.04627348110079765, 0.032682932913303375, 0.2512738108634949, 0.2510431706905365, 0.08480767160654068]",False,716eaec63c339cea4e63018b61b6e2332757744657f34a955612fb4b5c69f520
192.168.10.12,1785171776.618,benign,0.995944,"{'benign': 0.995944, 'dos': 0.001977, 'recon': 0.001117}","[0.9959438443183899, 0.0004135464259888977, 0.00021714091417379677, 0.001976846484467387, 0.00010635213402565569, 0.0001581203396199271, 0.0011166366748511791, 6.744833081029356e-05]",False,d0dc55192cc1b48b426db4ed0f69af9dacf051fb36f42e18950199e03fad4c76
192.168.10.11,1785171776.618,benign,0.978649,"{'benign': 0.978649, 'recon': 0.015552, 'dos': 0.001902}","[0.9786489605903625, 0.00164400739595294, 0.0006875667604617774, 0.001902448944747448, 0.00048454373609274626, 0.000302829866996035, 0.015551840886473656, 0.000777810113504529]",False,ddf366fe0996290417ff35657f15c31884ee17b7a07aa7b307d156eeae70c145
192.168.10.22,1785171776.618,benign,0.749167,"{'benign': 0.749167, 'dos': 0.114082, 'ddos': 0.113382}","[0.7491670250892639, 0.0026689530350267887, 0.11338216811418533, 0.11408159881830215, 0.004042130894958973, 0.003499973099678755, 0.00434642331674695, 0.008811745792627335]",False,613b35c4334932f4153ee5055d163d2bbee27057211e63decf21042a74728257
192.168.10.20,1785171776.618,benign,0.813018,"{'benign': 0.813018, 'recon': 0.068015, 'malware': 0.04767}","[0.813018262386322, 0.010901076719164848, 0.024273600429296494, 0.020387832075357437, 0.04767037555575371, 0.010575621388852596, 0.06801526993513107, 0.005157919600605965]",False,3851b856743e3c49ecb8544dda634df7031bc7976633634cddefe797404b5eb4
192.168.10.21,1785171786.732,benign,0.323278,"{'benign': 0.323278, 'recon': 0.164016, 'ddos': 0.161809}","[0.3232775032520294, 0.005007995758205652, 0.16180938482284546, 0.11745524406433105, 0.1306172013282776, 0.09021463990211487, 0.16401565074920654, 0.007602347992360592]",False,f8c3c17bca02aaa0a0df288b3652de3e94f7001e3594caf3103c3739d269f5b8
192.168.10.50,1785171786.732,benign,0.994058,"{'benign': 0.994058, 'recon': 0.00288, 'dos': 0.001075}","[0.9940582513809204, 4.5702498027822e-05, 0.00024709341232664883, 0.0010750310029834509, 0.00034840969601646066, 0.0007988609140738845, 0.002879977924749255, 0.0005466913571581244]",False,c7d4a05e119b465dc9c2f13701d856524578d7455829dfe4079eb2778513d1c3
192.168.10.20,1785171786.732,recon,0.682988,"{'recon': 0.682988, 'benign': 0.161297, 'ddos': 0.043686}","[0.16129711270332336, 0.012420126236975193, 0.043686263263225555, 0.027983034029603004, 0.03694872185587883, 0.007537445519119501, 0.6829878091812134, 0.027139462530612946]",True,07db0a264403bbba333ef77f66680cfd01cc896700a2b1eb9119175e2bac1587
192.168.10.12,1785171786.732,benign,0.967335,"{'benign': 0.967335, 'dos': 0.015169, 'recon': 0.009094}","[0.9673352837562561, 0.0010693275835365057, 0.005482394713908434, 0.015168684534728527, 0.0010312993545085192, 0.00023735962167847902, 0.009093507193028927, 0.0005821118247695267]",False,7e8449a77309232ece73f2adafe034e9b56ea75eb96cbffca3fdbbe10fc4ad04
192.168.10.11,1785171786.732,benign,0.994419,"{'benign': 0.994419, 'recon': 0.003081, 'bruteforce': 0.000908}","[0.9944186210632324, 0.0009076519636437297, 0.00017999604460783303, 0.0005177949205972254, 0.0002443644916638732, 0.0001144528214354068, 0.0030814933124929667, 0.0005356290494091809]",False,44329b2c3e9053ebbd7509ccbd0c7a1c2f02ac46a7ba7e2d732841cd4efec65d
192.168.10.22,1785171786.732,benign,0.749167,"{'benign': 0.749167, 'dos': 0.114082, 'ddos': 0.113382}","[0.7491670250892639, 0.0026689530350267887, 0.11338216811418533, 0.11408159881830215, 0.004042130894958973, 0.003499973099678755, 0.00434642331674695, 0.008811745792627335]",False,613b35c4334932f4153ee5055d163d2bbee27057211e63decf21042a74728257
